"","entidad","tipo_delito","total_delitos","total_delito_fuero_comun","total_delito_fuero_federal"
"692","Colima","90200",7,7,0
"693","Colima","90300",3,3,0
"694","Colima","90400",7,7,0
"695","Colima","90500",8,4,4
"696","Colima","90600",0,0,0
"697","Colima","90700",0,0,0
"698","Colima","90800",0,0,0
"699","Colima","90900",0,0,0
"700","Colima","91000",0,0,0
"701","Colima","91100",0,0,0
"702","Colima","91200",0,0,0
"703","Colima","91300",0,0,0
"704","Colima","91400",0,0,0
"705","Colima","91500",0,0,0
"706","Colima","91600",0,0,0
"707","Colima","91700",0,0,0
"708","Colima","91800",14,10,4
"709","Colima","100100",0,0,0
"710","Colima","999999",0,0,0
"711","Durango","Total",2325,2323,2
"712","Durango","10100",103,103,0
"713","Durango","10200",15,15,0
"714","Durango","10300",2,2,0
"715","Durango","10400",102,102,0
"716","Durango","10500",1,1,0
"717","Durango","20100",14,14,0
"718","Durango","20200",1,1,0
"719","Durango","20300",0,0,0
"720","Durango","20400",1,1,0
"721","Durango","20500",0,0,0
"722","Durango","20600",18,18,0
"723","Durango","20700",0,0,0
"724","Durango","30100",59,59,0
"725","Durango","30200",0,0,0
"726","Durango","30300",0,0,0
"727","Durango","30400",84,84,0
"728","Durango","30500",0,0,0
"729","Durango","30600",0,0,0
"730","Durango","30700",0,0,0
"731","Durango","40100",540,540,0
"732","Durango","40200",0,0,0
"733","Durango","40300",18,18,0
"734","Durango","40400",3,3,0
"735","Durango","40500",11,11,0
"736","Durango","40600",8,8,0
"737","Durango","40700",2,2,0
"738","Durango","40800",1,1,0
"739","Durango","50100",278,278,0
"740","Durango","50200",12,12,0
"741","Durango","50300",17,17,0
"742","Durango","60100",11,11,0
"743","Durango","60200",0,0,0
"744","Durango","60300",0,0,0
"745","Durango","60400",0,0,0
"746","Durango","60500",3,3,0
"747","Durango","60600",8,8,0
"748","Durango","70100",987,987,0
"749","Durango","70200",0,0,0
"750","Durango","70300",0,0,0
"751","Durango","70400",0,0,0
"752","Durango","70500",0,0,0
"753","Durango","70600",1,0,1
"754","Durango","70700",1,1,0
"755","Durango","70800",0,0,0
"756","Durango","70900",0,0,0
"757","Durango","80100",5,4,1
"758","Durango","80200",0,0,0
"759","Durango","80300",0,0,0
