entidad_a,gdoestud_c,cafuaftt,cafuaf1,cafuaf2,cafuaf3,cafuaf4,cafuaf5,cafuaf6,cafuaf7,cafuaf8,cafuaf9,cafuaf10,cafuaf11,cafuaf12,cafuaf13,cafuaf14,cafuaf15,cafuaf16,cafuaf17,cafuaf18
6,3,87,81,6,0,0,0,0,0,1,0,0,5,0,71,4,5,1,NA,NA
6,4,133,91,42,0,0,0,0,3,3,0,0,6,1,74,19,8,19,NA,NA
6,5,59,10,49,0,0,0,0,0,1,0,0,2,0,2,2,6,46,NA,NA
6,6,511,213,298,2,1,40,83,53,103,0,0,45,49,50,17,23,45,NA,NA
6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
6,8,14,10,4,0,0,0,0,0,0,0,0,10,4,0,0,0,0,NA,NA
6,9,,,,,,,,,,,,,,,,,,,
7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
7,2,18,15,3,0,0,0,0,0,0,0,0,0,0,5,0,10,3,NA,NA
7,3,162,137,25,0,0,0,0,2,1,0,0,1,0,103,4,31,20,NA,NA
7,4,662,499,163,0,0,0,0,10,15,0,0,28,6,389,57,72,85,NA,NA
7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
7,6,2012,1100,912,311,264,0,0,162,193,0,0,135,131,200,73,292,251,NA,NA
7,7,117,64,53,30,27,0,0,4,6,0,0,4,1,7,4,19,15,NA,NA
7,8,12,8,4,2,3,0,0,0,0,0,0,0,0,0,0,6,1,NA,NA
7,9,,,,,,,,,,,,,,,,,,,
8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2,8,4,4,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0
8,3,48,25,23,0,0,0,0,0,0,0,0,0,0,2,0,23,23,0,0
8,4,167,67,100,0,0,0,1,1,0,0,0,0,0,33,1,33,98,0,0
8,5,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
8,6,2556,1424,1132,3,1,432,601,3,7,0,0,0,0,896,293,88,229,2,1
8,7,333,151,182,4,2,86,133,0,1,0,0,1,2,49,16,10,28,1,0
8,8,3,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
8,9,,,,,,,,,,,,,,,,,,,
9,1,340,217,123,0,0,52,20,49,28,0,0,12,17,51,14,53,44,NA,NA
9,2,49,34,15,0,0,0,0,0,0,0,0,1,0,0,0,33,15,NA,NA
9,3,268,164,104,0,0,0,0,1,4,0,0,5,0,9,1,149,99,NA,NA
9,4,977,798,179,0,0,0,0,2,10,0,0,42,4,506,28,248,137,NA,NA
9,5,632,316,316,0,0,0,0,0,15,0,0,23,6,148,7,145,288,NA,NA
9,6,6056,3547,2509,25,10,828,841,615,825,0,0,289,265,1395,229,395,339,NA,NA
9,7,236,130,106,5,2,79,63,7,12,0,0,13,16,19,3,7,10,NA,NA
9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
9,9,,,,,,,,,,,,,,,,,,,
10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2,9,8,1,0,0,0,0,0,0,0,0,0,0,6,0,2,1,0,0
10,3,104,89,15,0,0,0,0,0,0,0,0,1,0,84,3,4,12,0,0
